Date,Close,High,Low,Open,Volume,MA,STD,Zscore,Signal,Position
2020-08-06,401.98529052734375,404.7576028758082,398.2888740627245,404.2955508177308,41029627,365.06729278564455,29.34243630133143,1.2581776565030498,-1,-1.0
2020-08-07,400.1370239257813,401.0611279071341,395.516504019017,400.5990759164577,36589460,368.9716339111328,28.500351884910792,1.0935089552753445,-1,-1.0
2020-08-10,402.4472351074219,404.2954428461471,395.0544041525209,395.0544041525209,36067500,372.7142532348633,27.68389672634954,1.0740172225920321,-1,-1.0
2020-08-11,396.4406433105469,401.9852676925126,396.4406433105469,399.2129555015297,34545313,375.7406951904297,26.74135269375343,0.7740800683187782,0,-1.0
2020-08-12,387.1995849609375,391.35805305717673,387.1995849609375,389.97189702509695,52143474,378.32818908691405,25.090298889144133,0.3535787243196952,0,0.0
2020-08-13,396.4406433105469,396.4406433105469,392.2821750240726,395.51653924688594,44352335,381.6318603515625,22.67674468907621,0.6530383069540844,0,0.0
2020-08-14,394.5924377441406,395.5165418137991,390.896021465507,391.8201255351654,23419955,384.4041748046875,20.493499053790472,0.4971460907047353,0,0.0
2020-08-17,401.98529052734375,401.98529052734375,393.206301423873,394.5924575981053,34137731,387.5923355102539,17.700295285477118,0.8131477348233326,0,0.0
2020-08-18,400.1370239257813,407.0678037859276,399.2129199444284,406.6057517952512,41643160,389.90259552001953,16.01036134668936,0.6392378150714294,0,0.0
2020-08-19,395.054443359375,403.37137900904605,395.054443359375,402.9093270285088,31486800,391.91251983642576,13.741562943021592,0.22864382574071107,0,0.0
2020-08-20,383.5031127929688,395.0544113710702,370.5656583854951,394.5923594279462,75097235,393.46039276123054,10.414641269841049,-0.9560847762559277,0,0.0
2020-08-21,392.2822265625,394.5924870251767,388.123757729682,389.509914007288,41609467,395.2392959594727,5.839556538632817,-0.506385951982757,0,0.0
2020-08-24,395.5165100097656,401.5231859795401,392.7441980237159,395.05445801209066,48375406,395.40101013183596,5.797992163945068,0.0199206681664565,0,0.0
2020-08-25,401.5232238769531,402.9093800008091,397.82680754667047,400.5991197943825,35977899,395.37790679931646,5.771233686706597,1.064818617861849,-1,0.0
2020-08-26,408.4540100097656,408.4540100097656,401.9852813444526,402.44733339197495,39243340,396.3020126342774,6.314209908112184,1.9245475763920918,-1,-1.0
2020-08-27,410.3022155761719,419.0812044229593,410.3022155761719,413.998631932714,53072712,396.76406402587895,6.983445814468014,1.9386062282097387,-1,-1.0
2020-08-28,401.98529052734375,407.06786316619525,398.2888740627245,406.60581110811785,56842210,397.2030166625977,7.0238364226807946,0.6808635020746688,0,-1.0
2020-08-31,394.13037109375,406.1437235538174,394.13037109375,403.8334634653429,81480538,397.6881729125977,6.402567697024326,-0.5556835924595085,0,0.0
2020-09-01,401.98529052734375,401.98529052734375,395.5165617142601,397.3647699465697,37429577,398.1271255493165,6.380020121306974,0.604726145791044,0,0.0
2020-09-02,400.1370239257813,407.529855776604,397.8267639723992,407.529855776604,34871407,398.31194458007815,6.382132896556028,0.2859669918011299,0,0.0
2020-09-03,402.9093627929688,406.1437269438297,400.5991026852109,406.1437269438297,34951617,398.3581481933594,6.413394183783082,0.7096421129263529,0,0.0
2020-09-04,396.4406433105469,399.6750075333602,394.592435183225,394.592435183225,46119911,398.1733291625977,6.412693574780738,-0.2701962649306993,0,0.0
2020-09-07,393.6682739257813,399.6749494669023,392.744169996378,395.5164817845877,32019312,397.73438110351566,6.4052029898676475,-0.634813164261383,0,0.0
2020-09-08,398.2887573242188,400.1369650148184,395.0543938656694,395.51644578831934,23714670,397.8267868041993,6.398884280763851,0.07219547967264901,0,0.0
2020-09-09,394.5924377441406,395.5165418137991,390.896021465507,392.74422960482383,40551362,398.1964294433594,5.95049560936643,-0.6056624415529188,0,0.0
2020-09-10,401.98529052734375,401.98529052734375,397.8268220046471,399.67503023695673,35098921,398.47366180419925,5.993395881592498,0.5859163640315758,0,0.0
2020-09-11,403.3713989257813,403.3713989257813,399.67498289897,402.4472949190784,34298469,398.9126098632813,6.015617877057102,0.7412021763392442,0,0.0
2020-09-14,407.5298461914063,408.453950151024,402.44727441350886,402.9093263933177,39085833,399.1898376464844,6.286341924356274,1.3266870694081612,-1,0.0
2020-09-15,411.2262878417969,413.0744958770409,406.1437157448758,407.0678197624978,39061449,399.74430084228516,6.839029570106603,1.6788912640032267,-1,-1.0
2020-09-16,423.2396240234375,426.9360399537732,420.9293640669777,425.0878319886053,64261238,401.15355987548827,8.519295163205554,2.592475518789152,-1,-1.0
2020-09-17,416.7353820800781,422.77502529862994,414.8770303205237,420.91667353907553,42058506,402.81517333984374,8.127358366661115,1.7127593139409076,-1,-1.0
2020-09-18,412.55413818359375,417.66460611154366,411.6249621966938,415.3416661442937,52454922,403.8287689208984,8.007831938524307,1.089604443459792,-1,-1.0
2020-09-21,408.8374328613281,418.1291926990856,408.8374328613281,412.08954880454326,39463920,404.49481506347655,7.832129480338398,0.5544619517275837,0,-1.0
2020-09-22,406.0498962402344,409.7666000959802,405.1207202762979,408.8374241320437,36130639,404.7211486816406,7.807102626155593,0.1701972706420114,0,0.0
2020-09-23,402.7978515625,407.4437322033593,401.4040873702422,405.12079188292967,45710963,404.43834075927737,7.767108073169643,-0.2112097812111306,0,0.0
2020-09-24,393.04144287109375,398.61649879834334,393.04144287109375,395.3643828407811,79806381,403.57530212402344,8.03557526998505,-1.3109029408605473,1,0.0
2020-09-25,393.9705810546875,397.687284649543,391.18305335854586,396.75810875082914,38775269,403.1745666503906,8.31406443139364,-1.107038040377598,1,1.0
2020-09-28,400.93939208984375,400.93939208984375,394.4351609319552,396.7581006312011,34156973,403.5150177001953,8.059744261716022,-0.3195666669705433,0,1.0
2020-09-29,400.474853515625,404.19155749256817,397.68732553291767,401.8686175069787,32230502,403.4394958496094,8.081878806344895,-0.3668258835627323,0,0.0
2020-09-30,402.3331909179688,404.1915428390679,400.0102510165948,400.0102510165948,27334204,403.54930419921874,8.049501351308756,-0.15107933127462683,0,0.0
2020-10-05,401.8685607910156,406.979028038069,400.939384927915,406.979028038069,32945832,403.4972640991211,8.057217026564741,-0.20214216679724564,0,0.0
2020-10-06,408.3728332519531,410.695773145309,406.5144813372685,410.2311851666378,35775395,404.09387359619143,7.948229189807789,0.5383538337380498,0,0.0
2020-10-07,411.6249084472656,413.4832601784045,404.1915015227101,404.1915015227101,42926239,404.9917053222656,7.7194692996415295,0.859282272851069,0,0.0
2020-10-08,420.916748046875,421.8459240911286,416.7354558477339,418.12921991411423,60853811,406.12310485839845,8.32020399168863,1.7780385196390003,-1,0.0
2020-10-12,427.4209289550781,429.2792808201002,425.0979891238005,425.562577090056,64719223,407.7645294189453,9.12499641008391,2.154126824029301,-1,-1.0
2020-10-13,429.2792663574219,432.0667940610415,424.1687989007859,432.0667940610415,45750738,409.12922821044924,10.193604490669674,1.9767333689879962,-1,-1.0
2020-10-14,426.4917602539063,428.3501121504374,424.6334083573751,427.8855241763046,40809241,410.28524627685545,10.799267136985044,1.5007049803914212,-1,-1.0
2020-10-15,420.916748046875,424.1688642017626,418.12921991411423,423.70427617963577,47775028,410.95459136962893,11.031856708770293,0.9030353584384563,0,-1.0
2020-10-16,417.2000427246094,423.7042750165298,416.7354547037579,419.0583948080152,46876801,411.2532791137695,11.12011677025589,0.534775284621676,0,0.0
2020-10-19,425.0980529785156,425.0980529785156,419.0584085099685,420.9167606541368,34470906,411.34620056152346,11.232742444961087,1.2242649098716876,-1,0.0
2020-10-20,419.0583801269531,424.6334361818572,419.0583801269531,423.2396721681312,25205638,411.4623504638672,11.303190453363122,0.6720252741407017,0,-1.0
2020-10-21,420.916748046875,423.70427617963577,419.05839595836784,421.3813360690018,28058921,411.88048095703124,11.498689044548886,0.7858519397154695,0,0.0
2020-10-22,422.7750244140625,422.7750244140625,417.6645570859805,418.12914502489696,23438547,412.57736053466795,11.724682147259774,0.8697603697323167,0,0.0
2020-10-23,419.9874877929688,425.56254294066304,419.5228998639942,425.56254294066304,18777385,413.2742401123047,11.730492497817549,0.572290351996141,0,0.0
2020-10-26,418.1292114257813,422.7750915527344,418.1292114257813,422.7750915527344,15059581,414.0408081054687,11.508688091659593,0.35524494953299385,0,0.0
2020-10-27,415.3416442871094,416.73540819411306,413.9478803801056,415.8062322561106,20117660,415.1558181762695,10.393322794736163,0.017879374528227802,0,0.0
2020-10-28,412.55413818359375,415.3416661442937,411.6249621966938,413.4833141704937,24710230,416.08499603271486,9.156789407188853,-0.3855999840237762,0,0.0
2020-10-29,406.0498962402344,408.3728361500755,404.65613229432967,405.5853082582661,41285612,416.34052124023435,8.775255579189043,-1.1726866422448947,1,0.0
2020-10-30,401.4039611816406,406.0498403619837,401.4039611816406,406.0498403619837,47668895,416.38697662353513,8.688877800187383,-1.72439016711357,1,1.0
2020-11-02,404.6561279296875,404.6561279296875,397.68730827533005,402.3331880449017,33477443,416.5031234741211,8.504702933353178,-1.3929934575342806,1,1.0
2020-11-03,409.7666015625,411.6249534970238,406.9790736607143,408.3728376116072,30328495,416.8980255126953,7.955007750321196,-0.8964697677267971,0,1.0
2020-11-04,418.1292114257813,419.5229754638672,411.6249792480469,413.01874328613286,37512790,417.3858444213867,7.699755251620019,0.09654423810915236,0,0.0
2020-11-05,419.0583801269531,419.5229681315285,413.9479120766245,419.5229681315285,34886108,417.7575180053711,7.585597693864131,0.17149105107884763,0,0.0
2020-11-06,420.4521789550781,423.2397072133439,418.1292387398567,422.7751191702996,30154140,417.7342895507812,7.5761197784349195,0.358744249534339,0,0.0
2020-11-09,426.0271606445313,427.4209245288645,421.8458689915315,425.5625726830869,39245881,417.6646011352539,7.488228746963527,1.1167606909268635,-1,0.0
2020-11-10,419.0583801269531,422.31049615898047,416.7354401040764,419.9875561361038,34820499,417.15355682373047,6.985762481301498,0.2726722112756078,0,-1.0
2020-11-11,424.6333923339844,424.6333923339844,416.7353970717549,416.7353970717549,36765561,417.0606384277344,6.86635539136054,1.1028782337392953,-1,0.0
2020-11-12,425.5626220703125,430.67309023927913,425.0980340549519,430.2085022239186,40100880,417.2929321289063,7.078971186180134,1.1682050574736997,-1,-1.0
2020-11-13,429.2792663574219,429.2792663574219,424.1687989007859,426.4917386538023,31037438,417.8968933105469,7.568956771814273,1.5038232335083932,-1,-1.0
2020-11-16,449.7212219238281,450.1858099630056,435.78358074850286,436.7127568268579,81994937,419.1280517578125,10.3086810487577,2.9677094500564074,-1,-1.0
2020-11-17,451.1148986816406,470.16300459919705,451.1148986816406,466.4463010055275,72413868,420.7308776855469,12.546506532508285,2.42171164677339,-1,-1.0
2020-11-18,461.8004455566406,461.8004455566406,452.0440981153032,455.2962139290823,50387727,422.77506256103516,15.549551894810685,2.5097432556001382,-1,-1.0
2020-11-19,455.2962036132813,463.65878694495376,455.2962036132813,463.65878694495376,44220053,424.40112152099607,17.165948513465498,1.799788812604802,-1,-1.0
2020-11-20,453.4378662109375,455.2962181216381,451.57951430023695,451.57951430023695,32281453,426.07364044189455,18.30506396380432,1.4948992160394436,-1,-1.0
2020-11-23,461.3358154296875,463.19416715347273,457.1545240511707,459.4774637059023,38084006,428.23397064208984,19.806163937761887,1.6712900535214994,-1,-1.0
2020-11-24,457.1546325683594,464.5880412280075,456.69004452713136,464.1234531867795,35479226,430.32462005615236,20.565907886367242,1.3045868269201057,-1,-1.0
2020-11-25,452.50872802734375,460.4067243070818,452.50872802734375,459.9421362906266,41419632,432.32234954833984,20.689052450429326,0.975703383582703,0,-1.0
2020-11-26,454.3670349121094,458.5483266444294,453.4378589715938,454.3670349121094,28893033,434.7382064819336,20.276639384853965,0.968051364805447,0,0.0
2020-11-27,454.3670349121094,457.15456273365606,452.0440950608205,452.973271001336,32960189,437.38636016845703,19.11951968535791,0.8881329145865764,0,0.0
2020-11-30,446.4690856933594,458.54837417205584,446.4690856933594,458.0837861536445,119895176,439.4770080566406,17.575964831922487,0.39782041575432286,0,0.0
